eiendom,adresse,bydel,eier,bruksnavn,areal,kommune
0301-54/178/0/0,,,Eiendoms- og byfornyelsesetaten,,398.3,
0301-54/215/0/0,,,Eiendoms- og byfornyelsesetaten,,1391.2,
0301-54/252/0/0,,,Eiendoms- og byfornyelsesetaten,,4874.2,
0301-54/264/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-54/265/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-54/288/0/0,,,Eiendoms- og byfornyelsesetaten,,963.9,
0301-54/307/0/0,,,Eiendoms- og byfornyelsesetaten,,244.9,
0301-54/310/0/0,,,Eiendoms- og byfornyelsesetaten,,345.1,
0301-54/400/0/0,,,Eiendoms- og byfornyelsesetaten,,27.9,
0301-54/408/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,1174.3,
0301-54/418/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,1198.8,
0301-54/419/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,1309.4,
0301-54/422/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,343.4,
0301-54/424/0/0,,,Eiendoms- og byfornyelsesetaten,,448.9,
0301-54/427/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,354.3,
0301-54/429/0/0,,,Eiendoms- og byfornyelsesetaten,,2286.2,
0301-54/431/0/0,,,Eiendoms- og byfornyelsesetaten,,443.2,
0301-54/434/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-54/435/0/0,,,Eiendoms- og byfornyelsesetaten,,28.8,
0301-54/436/0/0,,,Eiendoms- og byfornyelsesetaten,,1677.6,
0301-54/437/0/0,,,Eiendoms- og byfornyelsesetaten,,720.1,
0301-54/44/0/0,,,Eiendoms- og byfornyelsesetaten,Nb.:flere teiger,3065.0,
0301-54/8/0/0,,,Eiendoms- og byfornyelsesetaten,Flere teiger ca-areal.,69445.20000000001,
0301-54/9/0/0,,,Eiendoms- og byfornyelsesetaten,,252452.6,
0301-55/1/0/0,,,Eiendoms- og byfornyelsesetaten,Lindern skole,1464.4,
0301-55/21/0/0,,,Eiendoms- og byfornyelsesetaten,,1651.9,
0301-55/23/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tgl.veigr. Av ureg.gr.,1299.1,
0301-56/10/0/0,,,Eiendoms- og byfornyelsesetaten,,63399.6,
0301-56/12/0/0,,,Oslobygg KF,,34.1,
0301-56/13/0/0,,,Eiendoms- og byfornyelsesetaten,,41.4,
0301-56/14/0/0,,,Eiendoms- og byfornyelsesetaten,,255.4,
0301-56/19/0/0,,,Eiendoms- og byfornyelsesetaten,"Ikke tinglyst veigrunn, se merknad",586.8,
0301-56/2/0/0,,,Eiendoms- og byfornyelsesetaten,Nedre Bekkevoll,1815.8,
0301-56/20/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,14537.9,
0301-56/23/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,12504.7,
0301-56/25/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tingl.veigr.,6284.5,
0301-56/27/0/0,,,Oslobygg KF,,6884.1,
0301-56/5/0/0,,,Oslobygg KF,Voldsløkka,11424.1,
0301-57/121/0/0,,,Eiendoms- og byfornyelsesetaten,,362.9,
0301-57/126/0/0,,,Eiendoms- og byfornyelsesetaten,,24870.0,
0301-57/163/0/0,,,Boligbygg Oslo KF,,712.5,
0301-57/273/0/0,,,Eiendoms- og byfornyelsesetaten,,2073.7,
0301-57/274/0/0,,,Eiendoms- og byfornyelsesetaten,,10026.3,
0301-57/276/0/0,,,Eiendoms- og byfornyelsesetaten,,819.8,
0301-57/279/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-57/281/0/0,,,Eiendoms- og byfornyelsesetaten,,4.5,
0301-57/283/0/0,,,Eiendoms- og byfornyelsesetaten,,938.4,
0301-57/297/0/0,,,Eiendoms- og byfornyelsesetaten,Vann- og fallrettigh. I akerse,,
0301-57/306/0/0,,,Eiendoms- og byfornyelsesetaten,,2101.6,
0301-57/34/0/0,,,Eiendoms- og byfornyelsesetaten,,237.5,
0301-57/350/0/0,,,Eiendoms- og byfornyelsesetaten,,450.5,
0301-57/388/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,1374.1,
0301-57/40/0/0,,,Eiendoms- og byfornyelsesetaten,,5487.7,
0301-57/401/0/0,,,Eiendoms- og byfornyelsesetaten,,927.3,
0301-57/403/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,1129.0,
0301-57/404/0/0,,,Eiendoms- og byfornyelsesetaten,Av uregistrert grunn,180.3,
0301-57/405/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,610.0,
0301-57/422/0/0,,,Eiendoms- og byfornyelsesetaten,,652.4,
0301-57/423/0/0,,,Eiendoms- og byfornyelsesetaten,,635.2,
0301-57/430/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-57/435/0/0,,,Eiendoms- og byfornyelsesetaten,,1323.7,
0301-57/440/0/0,,,Eiendoms- og byfornyelsesetaten,,3503.2,
0301-57/45/0/0,,,Eiendoms- og byfornyelsesetaten,,466.5,
0301-58/140/0/0,,,Eiendoms- og byfornyelsesetaten,"Slettet i gr.boka, merkn.",6024.0,
0301-58/141/0/0,,,Eiendoms- og byfornyelsesetaten,,29.4,
0301-58/142/0/0,,,Eiendoms- og byfornyelsesetaten,,12.6,
0301-58/143/0/0,,,Eiendoms- og byfornyelsesetaten,,236.0,
0301-58/144/0/0,,,Eiendoms- og byfornyelsesetaten,,468.3,
0301-58/145/0/0,,,Eiendoms- og byfornyelsesetaten,,20.2,
0301-58/146/0/0,,,Eiendoms- og byfornyelsesetaten,,586.7,
0301-58/147/0/0,,,Eiendoms- og byfornyelsesetaten,,102.9,
0301-58/148/0/0,,,Eiendoms- og byfornyelsesetaten,,187.4,
0301-58/149/0/0,,,Eiendoms- og byfornyelsesetaten,,184.7,
0301-58/150/0/0,,,Eiendoms- og byfornyelsesetaten,,87.8,
0301-58/151/0/0,,,Eiendoms- og byfornyelsesetaten,,144.4,
0301-58/152/0/0,,,Eiendoms- og byfornyelsesetaten,,329.9,
0301-58/153/0/0,,,Eiendoms- og byfornyelsesetaten,,161.3,
0301-58/154/0/0,,,Eiendoms- og byfornyelsesetaten,,108.7,
0301-58/155/0/0,,,Eiendoms- og byfornyelsesetaten,,111.7,
0301-58/156/0/0,,,Eiendoms- og byfornyelsesetaten,,33.0,
0301-58/173/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-58/196/0/0,,,Eiendoms- og byfornyelsesetaten,Vann-og fallrettigh.i akerselv,,
0301-58/197/0/0,,,Eiendoms- og byfornyelsesetaten,Vann-og fallrettigh. I akersel,,
0301-58/200/0/0,,,Eiendoms- og byfornyelsesetaten,Cirka-areal.,65717.4,
0301-58/219/0/0,,,Eiendoms- og byfornyelsesetaten,,1058.2,
0301-58/23/0/0,,,Eiendoms- og byfornyelsesetaten,,855.7,
0301-58/288/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,5155.8,
0301-58/301/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,52.5,
0301-58/309/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn-av ureg.gr.,2226.1,
0301-58/311/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,121.0,
0301-58/98/0/0,,,Eiendoms- og byfornyelsesetaten,,5095.0,
0301-59/1/0/0,,,Eiendoms- og byfornyelsesetaten,Brekke,9067.5,
0301-59/227/0/0,,,Eiendoms- og byfornyelsesetaten,,2236.0,
0301-59/239/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-59/311/0/0,,,Eiendoms- og byfornyelsesetaten,Vann-og fallrettigheter-akerse,1459.5,
0301-59/396/0/0,,,Eiendoms- og byfornyelsesetaten,,67893.7,
0301-59/398/0/0,,,Eiendoms- og byfornyelsesetaten,,17405.0,
0301-59/415/0/0,,,Eiendoms- og byfornyelsesetaten,St.p.29-46 (2002-874),12957.1,
0301-59/496/0/0,,,Eiendoms- og byfornyelsesetaten,,4271.2,
0301-59/500/0/0,,,Eiendoms- og byfornyelsesetaten,,50599.2,
0301-59/509/0/0,,,Eiendoms- og byfornyelsesetaten,,1299.0,
0301-59/66/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-59/700/0/0,,,Eiendoms- og byfornyelsesetaten,Felles avkjørsel,180.6,
0301-59/709/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,486.3,
0301-59/710/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,14003.4,
0301-59/711/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,910.3,
0301-59/712/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,644.6,
0301-59/723/0/0,,,Eiendoms- og byfornyelsesetaten,,3127.9,
0301-59/724/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,1341.2,
0301-59/725/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,263.3,
0301-59/730/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,105.4,
0301-59/737/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-6/188/0/0,Drammensveien 198,Ullern,Eiendoms- og byfornyelsesetaten,,1727.7,
0301-6/2/0/0,,,Eiendoms- og byfornyelsesetaten,Vennersborg,2.2,
0301-6/57/0/0,,,Eiendoms- og byfornyelsesetaten,"Ikke tinglyst veigrunn, se merknad",734.5,
0301-6/595/0/0,,,Eiendoms- og byfornyelsesetaten,Veigrunn,4512.3,
